0,0
0,0
0,0
0,0
191,191
0,0
0,0
190,190
0,0
0,0
195,195
0,0
0,0
196,196
0,0
0,0
197,197
0,0
0,0
214,0
220,0
0,0
190,190
0,0
0,0
193,193
190,190
0,0
0,0
195,195
196,196
196,196
196,196
194,194
0,0
0,0
194,194
0,0
0,0
0,0
193,193
0,0
0,0
0,200
0,208
0,206
0,0
0,0
0,0
195,195
0,0
0,0
193,223
195,221
190,224
172,238
170,240
168,242
192,218
206,206
205,205
203,203
0,197
0,0
0,0
0,0
195,195
194,194
0,0
0,0
0,0
0,0
222,0
231,0
197,0
0,0
0,0
198,198
199,199
0,0
0,0
0,212
0,239
0,240
0,0
0,0
198,198
199,199
199,199
198,198
0,0
0,0
199,199
198,198
0,0
0,0
0,0
211,0
217,0
0,0
0,0
0,0
201,201
200,200
199,199
198,198
198,198
198,198
0,0
0,0
0,0
0,0
