epoch,avg_loss
0,1.4270340721
1,1.14213028136
2,0.979592696778
3,0.906421637488
4,0.852819097598
5,0.822147318059
6,0.787136048788
7,0.773153661203
8,0.765473580372
9,0.735454989331
10,0.734051565566
11,0.726038664934
12,0.719839757279
13,0.72070802015
14,0.71109078316
15,0.707522605856
16,0.705203196743
17,0.706407286227
18,0.70044143019
19,0.696735597378
20,0.701385160731
21,0.69835506894
22,0.696409270167
23,0.697898583014
24,0.693899733709
25,0.695503083752
26,0.701493800189
27,0.695437833105
28,0.695075864652
29,0.694152598521
30,0.684724948354
31,0.682342010654
32,0.679823166262
33,0.677716005298
34,0.672661961958
35,0.667806405545
36,0.665483478516
37,0.650842218793
38,0.650502412979
39,0.637366443725
40,0.632817778204
41,0.621865367458
42,0.617209891005
43,0.613436902119
44,0.604078051945
45,0.597025493929
46,0.593455582118
47,0.588065715388
48,0.581450289234
49,0.582933800325
50,0.574405636106
51,0.56096845608
52,0.570944967162
53,0.560837403679
54,0.561970498649
55,0.555713526609
56,0.571466887725
57,0.561407942916
58,0.552308775307
59,0.546829169527
60,0.536490891543
61,0.530521960131
62,0.52640169448
63,0.525364114918
64,0.523187088144
65,0.519632152415
66,0.519983565198
67,0.518103335644
68,0.515779469487
69,0.513959472999
70,0.512117659703
71,0.511108439711
72,0.509408820125
73,0.506512868972
74,0.506451522488
75,0.505687356143
76,0.502711168062
77,0.501478449427
78,0.50179939584
79,0.498502870815
80,0.494472936239
81,0.495607057793
82,0.493607198938
83,0.4937751517
84,0.491675703476
85,0.489579990506
86,0.488033639504
87,0.488034258582
88,0.486604650579
89,0.483420169572
90,0.475966989344
91,0.47220331259
92,0.471552990259
93,0.470382282392
94,0.469492129656
95,0.468498912921
96,0.468080012985
97,0.467404128274
98,0.465920928186
99,0.465226286697
100,0.464281470618
101,0.463443950942
102,0.463037839396
103,0.461405316486
104,0.460887525911
105,0.461355205182
106,0.46014799287
107,0.458425050454
108,0.458564440882
109,0.456780848019
110,0.457133931389
111,0.456357016746
112,0.455101621145
113,0.454366375973
114,0.454288670438
115,0.453887195016
116,0.452559512049
117,0.452103604843
118,0.451050161103
119,0.450964006492
